"Код";"Наименование";"Наличие";"Цена";"Полное описание";"Категория";"Фотография";"Производитель";"Название";"Артикул";"Гарантия";"Ресурс при 5% заполнении";"Тип";"Цвет печати";"Совместимость";"Категория";"Технология печати";"Для бренда";"Фасовка";"Тип чернил";"Штук в упаковке";"Размер";"Формат";"Плотность";"Белизна";"Тип фотобумаги";"Количество картриджей"
00000004746;Картридж Samsung ML-D3470B (O) (10000 стр.);Нет;6 130;;Картриджи;5a1f0e2e-b641-11e2-ae46-001e67062bc9;Samsung;;;От производителя;10000 стр.;Оригинальный;Черный (для монохромных устройств);Для Samsung ML-3470/3471;Картриджи;Лазерная;;;;;;;;;;
00000004181;Струйный картридж T08244A10 Yellow (Boost);Нет;;;Картриджи;;Boost;;;От производителя;;Совместимый;Желтый (Yellow);Для Epson T50/ T59/ TX650/ TX659/ TX700W/ TX710W/ TX800FW/ TX810FW/ R270/ R290/ R295/ R390/ RX590/ RX610/ RX615/ RX690/ 1410;Картриджи;Струйная;;;;;;;;;;
00000000193;Тонер-картридж Kyocera TK-120 (O) (7200 стр.);Нет;;;Картриджи;3dd6db3e-c2ca-11dd-a41e-00804842e01d;Kyocera;;;От производителя;7200 стр.;Оригинальный;Черный (для монохромных устройств);Для Kyocera FS-1030D;Картриджи;Лазерная;;;;;;;;;;
00000000466;Тонер-картридж Kyocera TK-410 (O) (15000 стр.);Да;2 560;;Картриджи;f1605723-446f-11de-a4c3-00804842e01d;Kyocera;;;От производителя;15000 стр.;Оригинальный;Черный (для монохромных устройств);Для Kyocera 1620/1635/1650/2020/2035/2050/2550;Картриджи;Лазерная;;;;;;;;;;
00000001101;Тонер-картридж Kyocera TK-675 (O) (20000 стр.);Да;3 490;;Картриджи;45ee2a46-a386-11de-9e42-00804842e01d;Kyocera;;;От производителя;20000 стр.;Оригинальный;Черный (для монохромных устройств);Для Kyocera 3040/2560/3060;Картриджи;Лазерная;;;;;;;;;;
00000001183;Тонер-картридж Kyocera TK-440 (О) (15000 стр.);Нет;;;Картриджи;e82f37cc-ba3c-11de-9e5d-00804842e01d;Kyocera;;;От производителя;15000 стр.;Оригинальный;Черный (для монохромных устройств);Для Kyocera FS-6950DN;Картриджи;Лазерная;;;;;;;;;;
00000001643;Тонер-картридж Kyocera TK-110 (O) (6000 стр.);Нет;;;Картриджи;ed735200-3c8c-11df-9abe-9288c4b1f6e1;Kyocera;;;От производителя;6000 стр.;Оригинальный;Черный (для монохромных устройств);Для Kyocera FS-720/820/920/1016MFP/1116MFP;Картриджи;Лазерная;;;;;;;;;;
00000002973;Тонер-картридж Kyocera TK-435 (O) (15000 стр.);Да;2 640;;Картриджи;032461ee-a617-11e0-83f2-001e67062bc8;Kyocera;;;От производителя;15000 стр.;Оригинальный;Черный (для монохромных устройств);Для Kyocera TASKalfa 180/181/220/221;Картриджи;Лазерная;;;;;;;;;;
00000003106;Тонер-картридж Kyocera TK-1100 (О) (2100 стр.);Да;2 510;;Картриджи;a5d8d853-d84d-11e0-9f4f-001e67062bc9;Kyocera;;;От производителя;2100 стр.;Оригинальный;Черный (для монохромных устройств);Для Kyocera FS-1110/1024MFP/1124MFP;Картриджи;Лазерная;;;;;;;;;;
00000003108;Тонер-картридж Kyocera TK-130 (O) (7200 стр.);Да;3 540;;Картриджи;c12960bd-d885-11e0-9f4f-001e67062bc9;Kyocera;;;От производителя;7200 стр.;Оригинальный;Черный (для монохромных устройств);Для Kyocera FS-1300/1350DN/1028MFP/1128MFP;Картриджи;Лазерная;;;;;;;;;;
00000003166;Тонер-картридж Kyocera TK-350 (O) (15000 стр.);Нет;3 780;;Картриджи;5f48d113-e82f-11e0-b9b5-001e67062bc8;Kyocera;;;От производителя;15000 стр.;Оригинальный;Черный (для монохромных устройств);Для Kyocera FS-3920DN/3040MFP/3140MFP/3540MFP/3640MFP;Картриджи;Лазерная;;;;;;;;;;
00000003345;Тонер-картридж Kyocera TK-18 (O) (7200 стр.);Нет;2 670;;Картриджи;5e47f013-216d-11e1-9a6e-001e67062bc8;Kyocera;;;От производителя;7200 стр.;Оригинальный;Черный (для монохромных устройств);Для Kyocera FS-1020D/1018MFP/1118MFP;Картриджи;Лазерная;;;;;;;;;;
00000003347;Тонер-картридж Kyocera TK-360 (O) (20000 стр.);Нет;;;Картриджи;5e47f017-216d-11e1-9a6e-001e67062bc8;Kyocera;;;От производителя;20000 стр.;Оригинальный;Черный (для монохромных устройств);Для Kyocera FS-4020DN;Картриджи;Лазерная;;;;;;;;;;
